Date,Dividends
2007-09-25,2.668
2007-12-20,1.32
2008-09-24,0.564
2020-03-25,0.05
2017-12-26,0.028
2018-03-21,0.042
2019-03-20,0.107
2019-06-25,0.182
2019-12-24,0.138
2018-12-26,0.128
2008-03-25,0.696
2018-06-20,0.095
2018-09-26,0.14
2019-09-25,0.146
2008-06-24,0.464
2008-12-23,98.288
2007-06-26,2.588
